kingdom	family	EN0.2A	EN0.2B	EN0.2C	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C
Metazoa	Spionidae	-1.34591590600802	0	1.21903345145352	0	0	0	-0.652768725448072	-1.34591590600802	0	0.263522006426083	0	-1.34591590600802	0	0	3.20796098559252
Metazoa	Trichobranchidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Nerillidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Orbiniidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Corophiidae	0	-0.346573590279973	0	0	0	0	0.346573590279973	0	0	0	0	0	0	0	0
Metazoa	Gammaridae	0	0	0	0	0	0	0	0	0	-0.0911607783969772	0	0	0.0911607783969774	0	0
Metazoa	Hyalellidae	0	0	0	-0.599146454710798	0	0	0	0	0.0940007258491471	0	1.0102914577233	0.0940007258491471	0	0	-0.599146454710798
Metazoa	Melitidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Araneidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Zodariidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Acartiidae	0	0	-1.09598757816521	0	0	-1.50145268627338	-2.19459986683332	0	0	0	-1.09598757816521	1.94853485955821	0	1.51897219987098	2.42052065000794
Metazoa	Calanidae	-0.859614271682445	-0.253478468112129	-1.95822656035055	0	0	0	0	0	0	0	0.874986783705662	1.62529237810556	2.2902686816988	-1.26507937979061	-0.45414916357428
Metazoa	Centropagidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Paracalanidae	-0.814534362616192	0.33059794168681	-2.76044451167151	0	0	0	0	0	0	0	0.751100927159515	1.29999849887491	1.87428447655813	0	-0.68100296999167
Metazoa	Temoridae	0	-0.957498348556409	-0.957498348556409	0	0	0	0	0	0	0	0	1.12194319312343	0	0.651939563877691	0.141113940111701
Metazoa	Chrysomelidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Curculionidae	0	0	-0.41546481211958	0	0	-1.66822778061495	0	0	0.729667492183423	0	-0.975080600055003	1.19397310031452	0	0	1.13513260029159
Metazoa	Silphidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Cyclopettidae	0	0.403261768264807	-1.67617977341503	0	0	0.0584212819730769	-2.08164488152319	0	-0.209842704621602	0	0	3.44976636719222	-2.08164488152319	0	2.13786282365291
Metazoa	Cyclopinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Oithonidae	0	0.252188846307242	-1.69372130274807	0	0	-0.0842833903139706	-1.40603923029629	0	-1.00057412218813	0	0	3.86696032826746	-1.18289567898208	-1.40603923029629	2.65440378025013
Metazoa	Carcinidae	0	0	0	0	0	0	-1.09861228866811	0	0	1.09861228866811	0	0	0	0	0
Metazoa	Crangonidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Penaeidae	0	0	0	0	0	0	0	-0.80471895621705	0	0	0.80471895621705	0	0	0	0
Metazoa	Chironomidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Culicidae	-1.1818371649612	0	0.204457196158692	0	0	0	0	-1.1818371649612	-0.0832248762930889	0	0	1.45722016465406	-1.1818371649612	0.204457196158692	1.76260181420524
Metazoa	Drosophilidae	0	0	0	-0.382920690716226	0.310226489843719	0	0.0225444173919387	-0.382920690716226	-0.382920690716226	0.533370041157929	0.310226489843719	0.0225444173919387	0.310226489843719	0.0225444173919387	-0.382920690716226
Metazoa	Mycetophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Syrphidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Tephritidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Canuellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Harpacticidae	0	0	0	0	0	0	0	0	-1.74724900501988	0	0	1.14312275287628	0	0	0.604126252143597
Metazoa	Longipediidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Nannopodidae	0	0	0	0	0	0	0	0	0.346573590279973	0	0	-0.346573590279972	0	0	0
Metazoa	Aphididae	0	0	0	0	0	-1.38629436111989	0	0	0	0	0	0	0	0	1.38629436111989
Metazoa	Delphacidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Membracidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Braconidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Trichogrammatidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Ixodidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Crambidae	0	0	0	0	0	0	0	0	-0.693147180559945	0	0.693147180559945	0	0	0	0
Metazoa	Geometridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Noctuidae	0	0	0	0	0	0	0	0	0	0	0	-0.346573590279973	0	0	0.346573590279973
Metazoa	Nymphalidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Plutellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Tortricidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Phytoseiidae	0	0	0	0	0	0	0	0	0	0.549306144334055	0	0	-0.549306144334055	0	0
Metazoa	Cypridinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Pyrgomorphidae	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80471895621705	0.80471895621705
Metazoa	Lepadidae	0	0	0	0	0	0	0	-1.62760064086212	0	0	0	0	0	1.17575974004441	0.451840900817712
Metazoa	Pollicipedidae	0	0	0	0	0	0	0	0	0	0	0	-1.6282313569128	0	0.814115678456401	0.814115678456401
Metazoa	Bacillidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Ectopsocidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Pyroglyphidae	0	0	0	0.0704441187178704	0	0	-0.21723795373391	0	0	-0.622703061842075	0	0	0.986734850592026	0	-0.21723795373391
Metazoa	Scolopendridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
