superkingdom	kingdom	phylum	class	order	family	genus	species	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C	EN0.2A	EN0.2B	EN0.2C
Bacteria	NA	Tenericutes	Mycoplasmatales	Mollicutes	Mycoplasmataceae	Mycoplasma	Mycoplasma phocidae	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Bacteria	NA	Tenericutes	Mycoplasmatales	Mollicutes	Mycoplasmataceae	Mycoplasma	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	NA	Tenericutes	Mycoplasmatales	Mollicutes	Mycoplasmataceae	Ureaplasma	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Tenericutes	NA	Mollicutes	NA	NA	NA	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria	NA	Tenericutes	NA	NA	NA	Candidatus Izimaplasma	Candidatus Izimaplasma sp. HR1	0	1	0	3	0	1	0	3	0	1	2	5	4	5	4
Bacteria	NA	Tenericutes	NA	NA	NA	NA	Tenericutes bacterium MO-XQ	0	0	1	2	6	0	0	0	0	0	1	0	1	0	2
Bacteria	NA	Tenericutes	NA	NA	NA	NA	Tenericutes bacterium MZ-XQ	2	1	0	0	3	2	0	0	0	3	0	3	0	0	3
Bacteria	NA	Tenericutes	NA	NA	NA	NA	NA	36	51	47	49	20	27	16	7	4	9	8	13	38	24	24
Bacteria	NA	Thermotogae	Kosmotogales	Thermotogae	Kosmotogaceae	Mesotoga	Mesotoga infera	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
Bacteria	NA	Thermotogae	Thermotogales	Thermotogae	Fervidobacteriaceae	Fervidobacterium	Fervidobacterium nodosum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	NA	Verrucomicrobia	Chthoniobacterales	Spartobacteria	Chthoniobacteraceae	Chthoniobacter	Chthoniobacter flavus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	NA	Verrucomicrobia	Opitutales	Opitutae	Opitutaceae	Ereboglobus	Ereboglobus luteus	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0
Bacteria	NA	Verrucomicrobia	Opitutales	Opitutae	Opitutaceae	Lacunisphaera	Lacunisphaera limnophila	0	0	5	3	2	2	0	14	5	7	8	4	2	10	5
Bacteria	NA	Verrucomicrobia	Opitutales	Opitutae	Opitutaceae	Nibricoccus	Nibricoccus aquaticus	2	2	1	0	0	3	0	0	0	0	0	4	0	3	2
Bacteria	NA	Verrucomicrobia	Opitutales	Opitutae	Opitutaceae	Opitutus	Opitutus sp. GAS368	7	0	9	7	0	6	12	26	7	8	31	18	5	7	5
Bacteria	NA	Verrucomicrobia	Opitutales	Opitutae	Opitutaceae	Opitutus	Opitutus sp. VeGlc2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
Bacteria	NA	Verrucomicrobia	Opitutales	Opitutae	Opitutaceae	Opitutus	Opitutus terrae	0	0	0	0	0	0	6	2	0	6	1	0	1	0	4
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Microbacteriaceae	Leifsonia	NA	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0
