	sample:OP0.2A	sample:OP0.2B	sample:OP0.2C	sample:OP1.2A	sample:OP1.2B	sample:OP1.2C	sample:OP5.0A	sample:OP5.0B	sample:OP5.0C	sample:OP8.0A	sample:OP8.0B	sample:OP8.0C	sample:EN0.2A	sample:EN0.2B	sample:EN0.2C	count	superkingdom_name	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	id
44	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote AD1000_68_A10	tax44
45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote AD1000_70_A08	tax45
46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_110_E06	tax46
47	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_127_D04	tax47
48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_13_C08	tax48
49	8	8	1	2	0	0	0	0	0	0	0	0	4	4	5	32	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_133_F10	tax49
50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_141_E04	tax50
51	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_147_B09	tax51
52	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_168_D03	tax52
53	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_169_H09	tax53
54	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_172_F11	tax54
55	7	2	1	0	2	2	2	0	0	2	0	0	7	12	3	40	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_181_C06	tax55
56	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_190_A04	tax56
57	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_194_G04	tax57
58	0	2	1	4	0	0	1	0	0	0	0	0	1	2	0	11	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_203_F09	tax58
59	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_63_E12	tax59
60	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_74_D01	tax60
61	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_89_E01	tax61
62	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_98_B01	tax62
63	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote SAT1000_06_E06	tax63
64	2	1	2	1	1	0	1	0	0	0	0	0	0	1	0	9	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote SAT1000_09_G02	tax64
65	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	6	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote SAT1000_32_C10	tax65
