superkingdom	kingdom	phylum	order	class	family	genus	species	06-mergeLCA//A0_2	06-mergeLCA//B0_2	06-mergeLCA//C0_2	06-mergeLCA//A1_2	06-mergeLCA//B1_2	06-mergeLCA//C1_2	06-mergeLCA//A5_0	06-mergeLCA//B5_0	06-mergeLCA//C5_0	06-mergeLCA//A8_0	06-mergeLCA//B8_0	06-mergeLCA//C8_0	06-mergeLCA//GP_1	06-mergeLCA//GP_2	06-mergeLCA//GP_3
Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote KM3_98_B01	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote SAT1000_06_E06	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote SAT1000_09_G02	2	1	2	1	1	0	1	0	0	0	0	0	0	1	0
Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote SAT1000_32_C10	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1
Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote SAT1000_41_C12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	NA	Euryarchaeota	NA	NA	NA	NA	NA	48	48	44	19	17	24	7	2	4	17	12	1	76	56	70
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Candidatus Nitrosomarinus	Candidatus Nitrosomarinus catalina	5838	6475	5704	1787	2061	1833	157	221	340	277	192	349	9245	5709	8696
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus koreensis	22	21	8	19	13	5	1	5	4	1	7	5	21	9	14
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus sediminis	616	555	208	550	315	99	178	171	94	238	138	164	764	342	337
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus sp. SW	26	17	11	15	15	6	1	3	3	11	3	8	28	20	22
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus adriaticus	100	82	48	61	39	16	27	26	13	32	19	20	147	75	65
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus maritimus	12	18	9	9	8	11	3	3	1	6	10	4	30	32	18
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus piranensis	27	18	10	18	11	3	2	1	2	4	10	4	15	17	19
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	NA	212	200	103	216	122	53	75	82	37	89	78	77	320	161	140
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	NA	NA	506	516	395	180	182	163	29	26	29	40	30	64	755	490	670
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured crenarchaeote 15G10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured crenarchaeote 4B7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured crenarchaeote 74A4	86	100	105	21	25	29	2	3	7	5	5	8	129	78	138
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured marine crenarchaeote HF4000_APKG6D3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured marine crenarchaeote HF4000_APKG6D9	3	2	2	1	3	0	1	2	0	0	0	0	1	7	5
Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	NA	61	43	44	12	26	20	7	9	3	11	1	2	72	47	63
Archaea	NA	Thaumarchaeota	Nitrososphaerales	Nitrososphaeria	Nitrososphaeraceae	Candidatus Nitrosocosmicus	Candidatus Nitrosocosmicus oleophilus	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
Archaea	NA	Thaumarchaeota	Nitrososphaerales	Nitrososphaeria	Nitrososphaeraceae	Nitrososphaera	Candidatus Nitrososphaera evergladensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosopelagicus	Candidatus Nitrosopelagicus brevis	8	6	10	3	5	1	0	0	0	3	0	1	11	11	9
Archaea	NA	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis aquarius	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis cloacae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote	0	2	2	0	0	0	0	1	0	1	0	0	2	0	3
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote AD1000_06_F06	25	28	22	6	8	3	2	0	1	1	0	0	48	22	32
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote AD1000_07_E11	37	35	40	8	16	5	0	0	3	1	2	4	54	33	47
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote AD1000_26_G12	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote AD1000_54_F09	3	2	5	1	0	2	0	0	1	3	0	0	3	4	2
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_05_H05	52	43	41	14	8	17	0	2	6	2	0	0	87	35	67
