taxids	mrca
13779;40811;40815	3146
13805;128204	13804
138088;239416	4381
1382730;1382731	2642050
1384378;1384379	2643399
1387313;1454128;1454129;1454131;1454132;1454135;1454139;1454140;1454141	1883
1390865;1390866;1390867;1390868;1390869;1390870;1390871	2648599
1391046;1719169	283513
1391070;1391071;1391073;1391074;1391075;1391077;1548434;1548435	2593676
1391681;1391684	2649512
1396;1405	86661
1396;1428	86661
1396;1428;155322;2026192	86661
140026;872466;872467;872468	1975592
140046;147705;944626	4782
1400577;1400578	5782
1400992;1708715;1708721;1708723	106591
1402;72360	653685
1408;1454	186817
1414192;1414267;1414282	2640676
141424;141426;141428;141431;141433;141434;141435;141436;141437;197033	279888
1416510;1416513	880158
1417477;1417517	2613784
1417554;1417575	325217
1419439;1419449;1419450	108385
1420937;1420938	2600219
1422;272567	1422
1423;1227747	1423
1425228;1425229;1425230;1425231	2631580
143163;143165	3015
1435135;1435136	272378
1440342;1440343;1440344	2631580
1440986;1440988	2649436
1442870;1442871	196821
1442877;1442879;1442888;1442890;1442894;1442900	196821
1444688;1444689;1444690;1444691;1444692;1444707;1444708	908989
1444694;1444695;1444696	908989
1444698;1444704	908989
1445580;1445581;1445582;1445583;1445584	194690
145522;1104435	5748
1455920;1455921	651140
1455983;1455984	651140
1456068;1456069	651140
1456091;1456092	651140
1456118;1456120	651140
1456126;1456127	651140
1456154;1456155	651140
1456177;1456178	651140
1456194;1456196	651140
1456208;1456209	651140
1456356;1456357	651140
1456367;1456368;1456369;1456370	651140
1456388;1456389	651140
1456398;1456399	651140
1456452;1456453	68359
1456475;1456476	68359
1456484;1456486	68359
1457767;1457768;1457769	68359
1458496;1458497	196858
1458498;1458499;1458500;1458504	2635139
1458498;1458500;1458501;1458502;1458503;1458504	104267
1458498;1458500;1458501;1458503;1458504	104267
1458501;1458505;1458506;1458510;1458511;1458513	2635139
1458505;1458506;1458507;1458508;1458513;1458514	2635139
1458506;1458510;1458511	2635139
1458506;1458513	1458513
1458507;1458508;1458514	1458514
1458509;1458512	2635139
1458510;1458511	2635139
145927;145939	59329
1463269;1463277;1463285	304043
146760;150623	47933
1471936;1471937	48479
147448;147449	NA
1482742;1482743;1482744;1482746;1482748;1482749;1482750;1482752	2614977
